08-26 20:59:06.188 20491 20504 I TestRunner: started: bannerIsOnScreenWithAFullFeed(com.bonjur.notification.presentation.feed.NeedsActionBannerVisibleTest)
08-26 20:59:06.191 20491 20504 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@120e15b]
08-26 20:59:06.192 20491 20504 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-26 20:59:06.194   654   965 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@7b3372c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.329   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.348   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.362   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
